127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.000228
127.0.0.1, 2014-03-04 21:20:19, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.000334
127.0.0.1, 2014-03-04 21:20:29, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.027124
127.0.0.1, 2014-03-04 22:48:25, GET, /admin/default/index, HTTP/1.1, 200, 0.039165
127.0.0.1, 2014-03-04 22:59:52, GET, /admin/default/design/facil, HTTP/1.1, 303, 0.004602
127.0.0.1, 2014-03-04 22:59:52, GET, /admin/default/index, HTTP/1.1, 200, 0.028483
127.0.0.1, 2014-03-04 22:59:58, POST, /admin/default/index, HTTP/1.1, 303, 0.037272
127.0.0.1, 2014-03-04 22:59:59, GET, /admin/default/design/facil, HTTP/1.1, 200, 0.067076
127.0.0.1, 2014-03-04 23:00:04, GET, /admin/default/site, HTTP/1.1, 200, 0.032563
127.0.0.1, 2014-03-04 23:00:05, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.546388
127.0.0.1, 2014-03-04 23:00:14, GET, /admin/default/cleanup/facil, HTTP/1.1, 303, 0.022564
127.0.0.1, 2014-03-04 23:00:15, GET, /admin/default/site, HTTP/1.1, 200, 0.057508
127.0.0.1, 2014-03-04 23:00:15, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.236447
127.0.0.1, 2014-03-04 23:00:19, GET, /admin/default/uninstall/facil, HTTP/1.1, 200, 0.061455
127.0.0.1, 2014-03-04 23:00:22, POST, /admin/default/uninstall/facil, HTTP/1.1, 303, 0.037415
127.0.0.1, 2014-03-04 23:00:22, GET, /admin/default/site, HTTP/1.1, 200, 0.035118
127.0.0.1, 2014-03-04 23:00:23, GET, /admin/default/twitter.load, HTTP/1.1, 200, 1.051062
127.0.0.1, 2014-03-04 23:04:07, GET, /admin/wizard/index, HTTP/1.1, 200, 0.022458
127.0.0.1, 2014-03-04 23:04:11, POST, /admin/wizard/index, HTTP/1.1, 303, 0.031814
127.0.0.1, 2014-03-04 23:04:13, GET, /admin/wizard/step1, HTTP/1.1, 200, 1.486775
127.0.0.1, 2014-03-04 23:04:13, POST, /admin/wizard/index, HTTP/1.1, 303, 0.414138
127.0.0.1, 2014-03-04 23:04:14, GET, /admin/wizard/step1, HTTP/1.1, 200, 0.863380
127.0.0.1, 2014-03-04 23:05:22, POST, /admin/wizard/step1, HTTP/1.1, 303, 5.410409
127.0.0.1, 2014-03-04 23:05:23, GET, /admin/wizard/step2, HTTP/1.1, 200, 0.038004
